Time (s),Voltage (V)
0.0016259999999999998,2.88
0.0016279999999999999,2.9
0.00163,3.0
0.001632,3.0
0.0016339999999999998,2.9
0.0016359999999999999,3.0
0.001638,2.9
0.00164,3.0
0.001642,2.9
0.0016439999999999998,2.9
0.001646,3.0
0.001648,2.9
0.00165,3.0
0.0016519999999999998,3.0
0.0016539999999999999,2.9
0.001656,3.0
0.001658,2.9
0.00166,3.0
0.0016619999999999998,2.9
0.001664,2.9
0.001666,3.0
0.001668,2.9
0.0016699999999999998,3.0
0.0016719999999999999,2.9
0.001674,3.0
0.001676,2.9
0.001678,3.0
0.0016799999999999999,3.0
0.001682,2.9
0.001684,3.0
0.001686,2.9
0.0016879999999999998,2.9
0.0016899999999999999,2.98
0.001692,2.9
0.001694,3.0
0.001696,3.0
0.0016979999999999999,1.48
0.0017,1.48
0.001702,0.14
0.001704,0.2
0.0017059999999999998,-0.02
0.0017079999999999999,0.06
0.00171,-0.04
0.001712,-0.06
0.001714,0.06
0.0017159999999999999,-0.06
0.001718,0.06
0.00172,-0.06
0.001722,0.04
0.0017239999999999998,-0.04
0.0017259999999999999,0.04
0.001728,0.04
0.00173,-0.06
0.0017319999999999998,-0.06
0.0017339999999999999,0.04
0.001736,-0.06
0.001738,0.04
0.00174,-0.06
0.0017419999999999998,0.04
0.0017439999999999999,-0.06
0.001746,0.04
0.001748,-0.04
0.0017499999999999998,0.06
0.0017519999999999999,0.06
0.001754,-0.06
0.001756,-0.06
0.001758,0.04
0.0017599999999999998,0.04
0.001762,-0.06
0.001764,-0.04
0.001766,0.04
0.0017679999999999998,0.06
0.0017699999999999999,-0.06
0.001772,-0.06
0.001774,0.06
0.001776,-0.06
0.0017779999999999998,0.06
0.00178,0.04
0.001782,-0.06
0.001784,-0.06
0.0017859999999999998,0.06
0.0017879999999999999,-0.04
0.00179,0.06
0.001792,0.04
0.001794,-0.06
0.0017959999999999999,-0.06
0.001798,0.06
0.0018,-0.06
0.001802,0.04
0.0018039999999999998,-0.06
0.0018059999999999999,0.06
0.001808,-0.04
0.00181,0.06
0.001812,0.04
0.0018139999999999999,-0.06
0.001816,-0.06
0.001818,0.04
0.00182,0.04
0.0018219999999999998,-0.06
0.0018239999999999999,0.06
0.001826,-0.06
0.001828,0.04
0.0018299999999999998,-0.06
0.0018319999999999999,0.06
0.001834,-0.06
0.001836,-0.06
0.001838,0.04
0.0018399999999999998,0.04
0.0018419999999999999,-0.06
0.001844,-0.04
0.001846,0.04
0.0018479999999999998,0.04
0.0018499999999999999,-0.06
0.001852,-0.06
0.001854,0.06
0.001856,0.04
0.0018579999999999998,-0.06
0.0018599999999999999,-0.06
0.001862,0.06
0.001864,-0.06
0.0018659999999999998,0.04
0.0018679999999999999,0.04
0.00187,-0.06
0.001872,0.04
0.001874,-0.06
0.0018759999999999998,-0.06
0.001878,0.04
0.00188,0.04
0.001882,-0.06
0.0018839999999999998,-0.06
0.0018859999999999999,0.06
0.001888,-0.06
0.00189,0.04
0.001892,-0.04
0.0018939999999999999,0.06
0.001896,0.04
0.001898,-0.06
0.0019,0.04
0.0019019999999999998,-0.06
0.0019039999999999999,-0.06
0.001906,0.04
0.001908,0.04
0.0019099999999999998,-0.06
0.0019119999999999999,0.06
0.001914,-0.06
0.001916,0.04
0.001918,-0.06
0.0019199999999999998,0.06
0.0019219999999999999,-0.06
0.001924,-0.06
0.001926,0.06
0.0019279999999999998,0.04
0.0019299999999999999,-0.06
0.001932,-0.06
0.001934,0.04
0.001936,-0.06
0.0019379999999999998,0.06
0.0019399999999999999,0.04
0.001942,-0.06
0.001944,-0.06
0.0019459999999999998,0.06
0.0019479999999999999,0.04
0.00195,-0.06
0.001952,0.04
0.001954,-0.06
0.001956,0.06
0.001958,-0.06
0.00196,0.04
0.0019619999999999998,-0.06
0.001964,0.04
0.001966,-0.06
0.0019679999999999997,0.04
0.00197,-0.06
0.001972,-0.04
0.001974,0.04
0.001976,0.04
0.0019779999999999997,-0.06
0.00198,0.04
0.001982,-0.06
0.001984,-0.06
0.001986,0.04
0.0019879999999999997,-0.06
0.00199,0.04
0.001992,0.04
0.001994,-0.06
0.001996,-0.06
0.0019979999999999998,0.06
0.002,-0.06
0.002002,0.06
0.0020039999999999997,0.04
0.002006,-0.06
0.002008,-0.04
0.00201,0.04
0.002012,0.04
0.0020139999999999997,-0.06
0.002016,0.06
0.002018,-0.06
0.00202,0.04
0.002022,-0.06
0.0020239999999999998,0.04
0.002026,-0.06
0.002028,0.04
0.00203,-0.06
0.002032,0.04
0.002034,-0.06
0.002036,0.06
0.002038,-0.06
0.0020399999999999997,0.04
0.002042,-0.06
0.002044,0.04
0.002046,-0.06
0.002048,0.06
0.0020499999999999997,-0.06
0.002052,0.04
0.002054,-0.04
0.002056,0.06
0.002058,-0.06
0.0020599999999999998,-0.06
0.002062,0.06
0.002064,-0.06
0.0020659999999999997,0.06
0.002068,-0.06
0.00207,0.06
0.002072,0.06
0.002074,-0.06
0.0020759999999999997,0.06
0.002078,-0.06
0.00208,0.04
0.002082,-0.06
0.002084,-0.06
0.0020859999999999997,0.06
0.002088,-0.06
0.00209,0.06
0.002092,0.06
0.002094,-0.06
0.0020959999999999998,0.06
0.002098,-0.06
0.0021,-0.06
0.0021019999999999997,0.06
0.002104,-0.04
0.002106,0.06
0.002108,0.06
0.00211,-0.06
0.0021119999999999997,0.04
0.002114,-0.06
0.002116,0.06
0.002118,-0.06
0.00212,0.06
0.0021219999999999998,-0.06
0.002124,-0.06
0.002126,0.04
0.002128,0.06
0.00213,-0.06
0.0021319999999999998,0.04
0.002134,-0.06
0.002136,-0.04
0.0021379999999999997,0.06
0.00214,0.04
0.002142,-0.06
0.002144,0.06
0.002146,-0.06
0.0021479999999999997,0.04
0.00215,-0.06
0.002152,0.06
0.002154,-0.06
0.002156,0.04
0.0021579999999999998,-0.06
0.00216,-0.06
0.002162,0.06
0.0021639999999999997,0.06
0.002166,-0.06
0.002168,-0.06
0.00217,0.06
0.002172,-0.06
0.0021739999999999997,0.04
0.002176,-0.06
0.002178,0.04
0.00218,0.04
0.002182,-0.06
0.0021839999999999997,-0.06
0.002186,0.06
0.002188,0.04
0.00219,-0.06
0.002192,-0.04
0.0021939999999999998,0.06
0.002196,-0.06
0.002198,1.48
0.0021999999999999997,1.48
0.002202,2.8000000000000003
0.002204,2.74
0.002206,2.96
0.002208,2.88
0.0022099999999999997,2.98
0.002212,3.0
0.002214,2.9
0.002216,3.0
0.002218,2.88
0.0022199999999999998,2.9
0.002222,3.0
0.002224,2.9
0.002226,3.0
0.002228,3.0
0.0022299999999999998,2.9
0.002232,3.0
0.002234,2.9
0.0022359999999999997,3.0
0.002238,2.9
0.00224,2.98
0.002242,2.9
0.002244,2.9
0.0022459999999999997,2.98
0.002248,2.9
0.00225,3.0
0.002252,2.9
0.002254,3.0
0.0022559999999999998,2.9
0.002258,3.0
0.00226,2.98
0.0022619999999999997,2.9
0.002264,2.98
0.002266,2.9
0.002268,2.9
0.00227,3.0
0.0022719999999999997,2.9
0.002274,3.0
0.002276,3.0
0.002278,2.9
0.00228,2.9
0.0022819999999999997,3.0
0.002284,2.9
0.002286,2.98
0.002288,2.9
0.00229,3.0
0.0022919999999999998,2.9
0.002294,3.0
0.002296,2.9
0.0022979999999999997,3.0
0.0023,3.0
0.002302,2.9
0.002304,2.9
0.002306,3.0
0.0023079999999999997,2.9
0.00231,3.0
0.002312,2.9
0.002314,3.0
0.002316,2.9
0.0023179999999999997,3.0
0.00232,3.0
0.002322,2.9
0.002324,3.0
0.002326,2.9
0.0023279999999999998,2.98
0.00233,2.9
0.002332,2.9
0.0023339999999999997,3.0
0.002336,2.9
0.002338,3.0
0.00234,2.9
0.002342,3.0
0.0023439999999999997,3.0
0.002346,2.9
0.002348,2.9
0.00235,2.98
0.002352,2.9
0.0023539999999999998,3.0
0.002356,2.9
0.002358,3.0
0.0023599999999999997,3.0
0.002362,2.9
0.0023639999999999998,2.9
0.002366,3.0
0.002368,3.0
0.0023699999999999997,2.9
0.002372,2.98
0.002374,2.9
0.002376,2.98
0.002378,2.9
0.0023799999999999997,2.9
0.002382,3.0
0.002384,3.0
0.002386,2.9
0.002388,2.9
0.0023899999999999998,2.98
0.002392,2.88
0.002394,3.0
0.0023959999999999997,2.9
0.002398,3.0
